Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 15:06:58,Male,18-25,Colombo,Degree,Technology related,between 20000 - 50000,once a week,No,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
10/12/2020 15:09:44,Female,25-30,Jaffna,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Maybe,No,4,Yes
10/12/2020 15:09:51,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once a month,Yes,peoples bank,from the bank,check balance,N/A,Maybe,Maybe,4,Maybe
10/12/2020 15:11:31,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:14:55,Male,18-25,Mullaitivu,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,Yes,5,Yes
10/12/2020 15:16:21,Male,18-25,Jaffna,A/L,Student,Not Applicable,once every few months,No,Commercial Bank,N/A,pay bills,below 5000,Yes,No,2,Yes
10/12/2020 15:18:52,Male,18-25,Kalutara,A/L,Technology related,between 20000 - 50000,never,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:20:29,Male,25-30,Colombo,A/L,Technology related,between 20000 - 50000,once a month,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:22:06,Female,25-30,Badulla,Diploma,Student,Not Applicable,never,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 15:22:41,Male,25-30,Jaffna,O/L,Marketing related,between 20000 - 50000,once a week,No,sampath,friend,check balance,N/A,Maybe,Maybe,3,Yes
10/12/2020 15:25:50,Female,25-30,Colombo,Diploma,other,less than 20000,once every few months,Yes,peoples bank,from the bank,check balance,below 5000,Maybe,No,3,Yes
